"STATION","NAME","DATE","TMAX","TMIN"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-04","90","76"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-05","91","76"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-06","93","76"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-07","94","75"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-08","95","79"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-09","97","79"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-10","96","78"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-11","97","78"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-12","98","80"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-13","96","79"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-14","91","72"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-15","88","76"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-16","94","75"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-17","90","73"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-18","82","73"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-19","94","75"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-20","95","78"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-21","96","79"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-22","97","79"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-23","97","79"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-24","96","78"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-25","97","79"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-26","96","79"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-27","93","77"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-28","92","77"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-29","91","77"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-08-30","97","77"
