latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
34.86979,119.1439,301.02,1.28,1.12,2022-02-20,0501,A,41,6.1NRT,286.45,5.37,D
36.80842,120.76462,301.74,1.05,1.02,2022-02-20,0501,A,49,6.1NRT,285.2,4.79,D
36.66795,119.74944,302.71,1.13,1.06,2022-02-20,0501,A,36,6.1NRT,285.23,4.3,D
35.85068,115.13842,308,2.08,1.4,2022-02-20,0501,A,66,6.1NRT,287.41,23.44,D
35.846,115.11608,301.82,2.09,1.41,2022-02-20,0501,A,49,6.1NRT,286.1,12.77,D
36.72415,119.73463,301.38,1.13,1.06,2022-02-20,0501,A,37,6.1NRT,287.47,3.78,D
36.72208,119.72219,305.87,1.13,1.06,2022-02-20,0501,A,62,6.1NRT,287.19,6.78,D
36.71375,119.67231,308.87,1.14,1.06,2022-02-20,0501,A,68,6.1NRT,287.26,9.58,D
36.90276,120.60815,304.06,1.06,1.03,2022-02-20,0501,A,58,6.1NRT,283.64,6.71,D
36.90089,120.59649,317.37,1.06,1.03,2022-02-20,0501,A,78,6.1NRT,282.34,17.27,D
36.99025,120.92275,307.6,1.04,1.02,2022-02-20,0501,A,66,6.1NRT,285.04,8.79,D
36.98845,120.9113,301.9,1.04,1.02,2022-02-20,0501,A,50,6.1NRT,284.33,5.24,D
37.03476,120.91819,300.13,1.04,1.02,2022-02-20,0501,A,29,6.1NRT,284.89,4.58,D
37.3767,115.17769,302.29,1.9,1.35,2022-02-20,0501,A,52,6.1NRT,287.45,11.06,D
37.99561,117.39186,300.74,1.38,1.16,2022-02-20,0501,A,41,6.1NRT,284.92,6.82,D
37.92699,117.03249,302.26,1.44,1.19,2022-02-20,0501,A,51,6.1NRT,285.71,7.87,D
39.43102,118.4545,304.01,1.17,1.07,2022-02-20,0501,A,58,6.1NRT,282.13,8.29,D
40.31055,122.14648,303.04,1.01,1,2022-02-20,0503,A,52,6.1NRT,280.17,7.65,D
40.79941,122.42968,300.48,1.02,1.01,2022-02-20,0503,A,38,6.1NRT,279.62,5.82,D
41.15924,122.99551,303.73,1.06,1.03,2022-02-20,0503,A,57,6.1NRT,278.35,8.37,D
41.48394,118.99129,306.56,1.06,1.03,2022-02-20,0503,A,55,6.1NRT,273.48,11.66,D
42.16874,123.22769,300.12,1.09,1.04,2022-02-20,0503,A,29,6.1NRT,277.9,5.96,D
42.9771,123.69633,310.89,1.16,1.07,2022-02-20,0503,A,71,6.1NRT,276.18,14.57,D
14.47181,102.15844,328.42,1.03,1.02,2022-02-20,0635,A,65,6.1NRT,304.72,14.57,D
14.72632,102.50888,341.04,1.01,1.01,2022-02-20,0635,A,89,6.1NRT,306.12,32.58,D
14.86901,102.91491,326.67,1,1,2022-02-20,0635,A,64,6.1NRT,303.89,8.66,D
15.49814,103.84498,323.92,1.02,1.01,2022-02-20,0635,A,65,6.1NRT,301.47,5.95,D
15.49683,103.83562,324.56,1.02,1.01,2022-02-20,0635,A,53,6.1NRT,301.89,6.69,D
15.4855,103.48872,327.94,1,1,2022-02-20,0635,A,73,6.1NRT,302.78,8.38,D
15.49421,103.42124,328.52,1,1,2022-02-20,0635,A,76,6.1NRT,304.76,9.54,D
15.71439,102.45604,330.95,1.01,1,2022-02-20,0635,A,76,6.1NRT,292.69,19.88,D
16.7222,103.64972,315.43,1.02,1.01,2022-02-20,0635,A,54,6.1NRT,292.93,7.82,D
16.09261,95.66391,320.99,2.47,1.51,2022-02-20,0635,A,76,6.1NRT,302.46,34.94,D
16.00838,94.53952,316.39,3.02,1.65,2022-02-20,0635,A,0,6.1NRT,301.52,27.73,D
16.00877,94.53228,316.45,3.02,1.65,2022-02-20,0635,A,43,6.1NRT,301.48,28.97,D
16.6585,97.84457,314.05,1.65,1.26,2022-02-20,0635,A,67,6.1NRT,287.73,15.34,D
18.734,95.7552,316.31,2.15,1.42,2022-02-20,0637,A,62,6.1NRT,303.08,15.86,D
18.71537,95.43967,320.83,2.27,1.46,2022-02-20,0637,A,65,6.1NRT,305.18,27.93,D
18.71143,95.41827,324.1,2.28,1.46,2022-02-20,0637,A,78,6.1NRT,305.43,40.8,D
18.73427,95.11391,327.29,2.4,1.49,2022-02-20,0637,A,81,6.1NRT,308.1,50.47,D
18.73013,95.09177,321.89,2.41,1.5,2022-02-20,0637,A,75,6.1NRT,308.1,29.27,D
18.73155,94.95124,318.84,2.47,1.51,2022-02-20,0637,A,69,6.1NRT,303.35,25.4,D
18.8541,94.96738,321.79,2.45,1.51,2022-02-20,0637,A,72,6.1NRT,306.42,30.57,D
18.86241,94.95937,321.97,2.45,1.51,2022-02-20,0637,A,68,6.1NRT,307.06,30.83,D
19.4259,97.41425,329.42,1.58,1.24,2022-02-20,0637,A,83,6.1NRT,307.75,32.8,D
19.01236,94.8992,333.93,2.46,1.51,2022-02-20,0637,A,86,6.1NRT,308.14,89.06,D
19.00832,94.8774,322.62,2.47,1.51,2022-02-20,0637,A,71,6.1NRT,306.12,39.84,D
19.60485,97.44508,330.35,1.56,1.23,2022-02-20,0637,A,70,6.1NRT,306.4,38.85,D
19.89126,97.97188,318.48,1.42,1.18,2022-02-20,0637,A,70,6.1NRT,301.84,14.99,D
19.38813,95.00653,323.7,2.37,1.49,2022-02-20,0637,A,75,6.1NRT,310.76,27.9,D
19.45144,95.12912,328.09,2.31,1.47,2022-02-20,0637,A,80,6.1NRT,307.6,50.26,D
19.44738,95.10683,328.76,2.32,1.47,2022-02-20,0637,A,80,6.1NRT,309.85,52.47,D
19.44857,95.12226,336.26,2.31,1.47,2022-02-20,0637,A,87,6.1NRT,308.36,88.69,D
19.89521,97.38599,323.54,1.56,1.23,2022-02-20,0637,A,76,6.1NRT,306.99,18.11,D
19.89273,97.3716,320.15,1.56,1.23,2022-02-20,0637,A,64,6.1NRT,308.01,12.34,D
19.90809,97.26295,327.47,1.59,1.24,2022-02-20,0637,A,80,6.1NRT,313.98,26.68,D
19.90393,97.10471,317.19,1.63,1.26,2022-02-20,0637,A,47,6.1NRT,305.08,11.19,D
19.97987,97.40897,321.74,1.55,1.23,2022-02-20,0637,A,59,6.1NRT,310.12,15.3,D
20.2429,98.66217,310.93,1.28,1.12,2022-02-20,0637,A,21,6.1NRT,298.6,7.37,D
19.82047,96.15829,318.34,1.91,1.35,2022-02-20,0637,A,56,6.1NRT,302.83,18.62,D
19.82855,96.1682,317.47,1.9,1.35,2022-02-20,0637,A,35,6.1NRT,301.45,14.92,D
20.05652,97.31459,330.09,1.57,1.23,2022-02-20,0637,A,69,6.1NRT,315.45,27.14,D
20.08162,97.26334,331.65,1.58,1.24,2022-02-20,0637,A,75,6.1NRT,313.24,30,D
20.12215,97.30227,333.14,1.57,1.23,2022-02-20,0637,A,85,6.1NRT,313.44,29.09,D
20.11447,97.31367,328.9,1.56,1.23,2022-02-20,0637,A,68,6.1NRT,313.45,20.41,D
20.11193,97.29922,334.71,1.57,1.23,2022-02-20,0637,A,86,6.1NRT,312.99,33.68,D
20.2379,97.96174,332.47,1.41,1.17,2022-02-20,0637,A,85,6.1NRT,304.26,37.24,D
20.23557,97.94813,320.96,1.41,1.18,2022-02-20,0637,A,54,6.1NRT,305.74,12.48,D
20.21076,97.41595,323.24,1.53,1.22,2022-02-20,0637,A,75,6.1NRT,306.5,24.12,D
20.38166,98.00814,328.33,1.39,1.17,2022-02-20,0637,A,82,6.1NRT,310.75,19.64,D
20.37949,97.99516,328.95,1.39,1.17,2022-02-20,0637,A,82,6.1NRT,310.96,21.18,D
20.40554,97.79682,341.46,1.43,1.18,2022-02-20,0637,A,91,6.1NRT,307.12,63.06,D
20.42885,97.80647,331.05,1.43,1.18,2022-02-20,0637,A,80,6.1NRT,306.33,34.9,D
20.56163,98.28557,314.58,1.33,1.14,2022-02-20,0637,A,59,6.1NRT,302.67,8.02,D
20.55936,98.27947,315.13,1.33,1.14,2022-02-20,0637,A,63,6.1NRT,302.45,8.44,D
20.49534,97.84116,322.21,1.42,1.18,2022-02-20,0637,A,23,6.1NRT,306.19,13.81,D
20.508,97.85211,325.77,1.42,1.18,2022-02-20,0637,A,46,6.1NRT,308.3,20.89,D
20.52666,97.83497,328.38,1.42,1.18,2022-02-20,0637,A,77,6.1NRT,306.22,25.15,D
20.4787,96.6909,319.73,1.7,1.28,2022-02-20,0637,A,52,6.1NRT,302.11,20.05,D
20.8215,98.00467,324.8,1.37,1.16,2022-02-20,0637,A,78,6.1NRT,301.92,25.16,D
20.80511,97.65206,322.39,1.44,1.19,2022-02-20,0637,A,70,6.1NRT,309.35,9.53,D
20.6493,96.5444,313.81,1.73,1.29,2022-02-20,0637,A,47,6.1NRT,296.46,17.24,D
20.66678,96.57616,316.93,1.72,1.29,2022-02-20,0637,A,58,6.1NRT,297.13,21.78,D
21.02055,98.15099,319.52,1.33,1.14,2022-02-20,0637,A,57,6.1NRT,304.41,15.67,D
20.86753,97.19376,328.58,1.54,1.22,2022-02-20,0637,A,67,6.1NRT,306.6,31.06,D
20.86497,97.17902,335.43,1.55,1.23,2022-02-20,0637,A,84,6.1NRT,308.18,50.33,D
20.87587,97.17714,331.05,1.55,1.23,2022-02-20,0637,A,82,6.1NRT,305.8,41.53,D
20.99745,97.63228,315.7,1.44,1.19,2022-02-20,0637,A,57,6.1NRT,298.94,14.76,D
20.99506,97.61796,311.9,1.44,1.19,2022-02-20,0637,A,27,6.1NRT,300.4,10.11,D
21.00241,97.62497,313.91,1.44,1.19,2022-02-20,0637,A,49,6.1NRT,298.52,12.99,D
20.8187,96.45689,314.3,1.74,1.29,2022-02-20,0637,A,47,6.1NRT,301.69,15.64,D
21.3045,99.00688,313.67,1.18,1.08,2022-02-20,0637,A,65,6.1NRT,299.39,9.48,D
21.05564,97.08209,337.04,1.56,1.23,2022-02-20,0637,A,87,6.1NRT,309.5,49.03,D
21.06997,97.03428,321.37,1.57,1.23,2022-02-20,0637,A,46,6.1NRT,305.16,13.31,D
21.09068,97.08938,322.11,1.55,1.23,2022-02-20,0637,A,66,6.1NRT,306.6,14.02,D
21.13012,97.1048,339.19,1.55,1.23,2022-02-20,0637,A,60,6.1NRT,309.92,48.5,D
21.12759,97.09033,342.88,1.55,1.23,2022-02-20,0637,A,79,6.1NRT,309.71,59.97,D
21.27285,97.87351,331.7,1.37,1.16,2022-02-20,0637,A,84,6.1NRT,309.31,33.23,D
21.14929,97.0857,344.56,1.55,1.23,2022-02-20,0637,A,92,6.1NRT,310.13,68.95,D
21.13944,97.02885,333.52,1.57,1.23,2022-02-20,0637,A,84,6.1NRT,309.07,34.35,D
21.13689,97.0141,326.11,1.57,1.23,2022-02-20,0637,A,55,6.1NRT,306.84,16.86,D
21.16015,97.08344,330.55,1.55,1.23,2022-02-20,0637,A,47,6.1NRT,306.86,26.02,D
21.14782,97.01192,334.62,1.57,1.23,2022-02-20,0637,A,73,6.1NRT,308.9,39.32,D
21.16372,97.0387,338.09,1.56,1.23,2022-02-20,0637,A,73,6.1NRT,304.39,49.95,D
21.21393,97.26778,315.08,1.5,1.21,2022-02-20,0637,A,54,6.1NRT,297.46,15.42,D
21.18189,97.07907,328.84,1.55,1.23,2022-02-20,0637,A,80,6.1NRT,305.89,26,D
21.17942,97.0646,346.08,1.55,1.23,2022-02-20,0637,A,93,6.1NRT,306.68,76.92,D
21.21616,97.26203,313.53,1.5,1.21,2022-02-20,0637,A,30,6.1NRT,297.71,11.94,D
21.1829,97.07364,336.52,1.55,1.23,2022-02-20,0637,A,87,6.1NRT,305.91,47.95,D
21.18035,97.05922,326.03,1.55,1.23,2022-02-20,0637,A,58,6.1NRT,305.58,22.38,D
21.21389,96.9931,313.52,1.57,1.23,2022-02-20,0637,A,32,6.1NRT,300.24,10.51,D
21.26645,97.10188,336.57,1.54,1.22,2022-02-20,0637,A,87,6.1NRT,305.47,51.43,D
21.26398,97.08744,330.6,1.54,1.22,2022-02-20,0637,A,82,6.1NRT,302.78,37.02,D
21.29304,97.12655,323.64,1.53,1.22,2022-02-20,0637,A,54,6.1NRT,304.51,21.55,D
21.28704,97.1362,327.58,1.53,1.22,2022-02-20,0637,A,75,6.1NRT,301.65,30.64,D
21.3213,97.20426,317.6,1.51,1.21,2022-02-20,0637,A,66,6.1NRT,298.59,19.4,D
21.31879,97.1899,320.87,1.51,1.21,2022-02-20,0637,A,71,6.1NRT,301.63,24.04,D
21.30352,97.10262,329.52,1.54,1.22,2022-02-20,0637,A,81,6.1NRT,305.04,36.23,D
21.30098,97.0881,349.05,1.54,1.22,2022-02-20,0637,A,94,6.1NRT,306.47,96.65,D
21.39973,97.06252,318.5,1.54,1.22,2022-02-20,0637,A,60,6.1NRT,303.72,17.23,D
21.39719,97.048,321.89,1.54,1.22,2022-02-20,0637,A,69,6.1NRT,302.44,23.97,D
21.41528,96.89198,316.43,1.58,1.24,2022-02-20,0637,A,50,6.1NRT,302.26,18.15,D
21.65619,98.14017,320.85,1.3,1.13,2022-02-20,0637,A,43,6.1NRT,309.14,15.23,D
21.79308,98.34711,307.35,1.26,1.12,2022-02-20,0637,A,35,6.1NRT,297.06,6.03,D
